Ability,সামর্থ্য
Cell,কোষ
Center,কেন্দ্র
Century,শতাব্দী
Certain,নিশ্চিত
Chair,চেয়ার
Chance,সুযোগ
Change,পরিবর্তন
Chapter,অধ্যায়
Character,চরিত্র
Charge,চার্জ
Cheap,সস্তা
Check,চেক করা
Child,শিশু
Choice,পছন্দ
Circle,বৃত্ত
City,শহর
Claim,দাবি করা
Clean,পরিষ্কার
Clear,স্পষ্ট
Clock,ঘড়ি
Cloth,কাপড়
Close,বন্ধ করা
Cloud,মেঘ
Coach,কোচ
Coal,কয়লা
Cold,ঠান্ডা
Colleague,সহকর্মী
Collect,সংগ্রহ করা
College,কলেজ
Color,রং
Column,কলাম
Come,আসা
Comfortable,আরামদায়ক
Command,আদেশ
Comment,মন্তব্য
Common,সাধারণ
Communicate,যোগাযোগ করা
Community,সম্প্রদায়
Company,কোম্পানি
Compare,তুলনা করা
Compete,প্রতিযোগিতা করা
Complete,সম্পূর্ণ
Complex,জটিল
Condition,অবস্থা
Confidence,আত্মবিশ্বাস
Confirm,নিশ্চিত করা
Connect,সংযোগ করা
Consider,বিবেচনা করা
Constant,ধ্রুব
Construct,নির্মাণ করা
Contact,যোগাযোগ
Content,বিষয়বস্তু
Contribute,অবদান রাখা
Control,নিয়ন্ত্রণ
Cook,রান্না করা
Cool,ঠান্ডা
Copy,অনুলিপি
Corner,কোণা
Cost,মূল্য
Cottage,কুটির
Count,গণনা করা
Country,দেশ
Couple,জোড়া
Courageous,সাহসী
Course,কোর্স
Cover,আবরণ
Cow,গরু
Crash,দুর্ঘটনা
Crazy,পাগল
Create,সৃষ্টি করা
Creature,প্রাণী
Crime,অপরাধ
Criminal,অপরাধী
Crisis,সংকট
Critic,সমালোচক
Criticize,সমালোচনা করা
Crop,ফসল
Cross,পার হওয়া
Crowd,ভিড়
Crown,মুকুট
Crush,চূর্ণ করা
Curious,কৌতূহলী
Currency,মুদ্রা
Current,বর্তমান
Curtain,পর্দা
Curve,বক্র
Customer,গ্রাহক
Cut,কাটা
Cycle,চক্র
Damage,ক্ষতি
Dance,নাচ
Danger,বিপদ
Dare,সাহস করা
Dark,অন্ধকার
Data,তথ্য
Date,তারিখ
Daughter,কন্যা
Dear,প্রিয়
Death,মৃত্যু
Debt,ঋণ
Decision,সিদ্ধান্ত
Declare,ঘোষণা করা
Deep,গভীর
Deer,হরিণ
Defeat,পরাজয়
Defense,প্রতিরক্ষা
Defensive,আত্মরক্ষামূলক
Deficit,ঘাটতি
Definition,সংজ্ঞা
Degree,ডিগ্রি
Delay,বিলম্ব
Delight,আনন্দ
Deliver,বিতরণ করা
Demand,চাহিদা
Democracy,গণতন্ত্র
Democratic,গণতান্ত্রিক
Demonstrate,প্রদর্শন করা
Input,ইনপুট
Deny,অস্বীকার করা
Department,বিভাগ
Depend,নির্ভর করা
Deposit,জমা
Depth,গভীরতা
Describe,বর্ণনা করা
Design,নকশা
Desire,ইচ্ছা
Desk,ডেস্ক
Destroy,ধ্বংস করা
Detail,বিস্তারিত
Determine,নির্ধারণ করা
Develop,উন্নয়ন করা
Development,উন্নয়ন
Device,যন্ত্র
Die,মৃত্যু হওয়া
Difference,পার্থক্য
Different,ভিন্ন
Difficult,কঠিন
Opinion,মতামত
Dimension,মাত্রা
Dining,খাওয়া
Direction,দিক
Direct,সরাসরি
Director,পরিচালক
Discover,আবিষ্কার করা
Discovery,আবিষ্কার
Discussion,আলোচনা
Disease,রোগ
Dish,খাবার
Display,প্রদর্শন
Distance,দূরত্ব
District,জেলা
Divide,ভাগ করা
Division,বিভাগ
Do,করা
Doctor,চিকিৎসক
Dog,কুকুর
Door,দরজা
Download,ডাউনলোড
Drawing,চিত্রাঙ্কন
Dream,স্বপ্ন
Dress,পোশাক
Drink,পান করা
Drive,চালানো
Driver,চালক
Drop,ফেলা
Drug,ঔষধ
Dry,শুকনো
Dumb,বোকা
Eat,খাওয়া
Edge,প্রান্ত
Education,শিক্ষা
Effect,প্রভাব
Effort,প্রচেষ্টা
Egg,ডিম
Eight,আট
Either,হয়
Election,নির্বাচন
Electric,বৈদ্যুতিক
Electronic,ইলেকট্রনিক
Element,উপাদান
Elephant,হাতি
Eleven,এগারো
Engaged,ব্যস্ত
Engine,ইঞ্জিন
Engineer,প্রকৌশলী
English,ইংরেজি
Enjoy,উপভোগ করা
Enormous,বিশাল
Enough,যথেষ্ট
Enter,প্রবেশ করা
Entrance,প্রবেশপথ
Environment,পরিবেশ
Equal,সমান
Equipment,সরঞ্জাম
Error,ত্রুটি
Escape,পলায়ন করা
Establish,প্রতিষ্ঠা করা
Estate,সম্পত্তি
Event,ঘটনা
Everything,সবকিছু
Example,উদাহরণ
Extra,অতিরিক্ত
Extreme,চরম
Eye,চোখ
Face,মুখ
Facility,সুবিধা
Factory,কারখানা
Fall,পতন
False,মিথ্যা
Fame,খ্যাতি
Family,পরিবার
Famous,বিখ্যাত
Fan,পাখা
Fantastic,চমৎকার
Far,দূরে
Farm,খামার
Farmer,কৃষক
Fashion,ফ্যাশন
Fast,দ্রুত
Fat,মোটা
Fate,ভাগ্য
Father,বাবা
Favor,অনুগ্রহ
Favorite,প্রিয়
Fear,ভয়
Feature,বৈশিষ্ট্য
Feel,অনুভব করা
Feeling,অনুভূতি
Female,মহিলা
Fence,বেড়া
Few,কয়েকটি
Field,ক্ষেত্র
Fight,লড়াই
Figure,আকৃতি
File,ফাইল
Fill,পূরণ করা
Film,চলচ্চিত্র
Finish,শেষ করা
Fire,আগুন
Firm,দৃঢ়
First,প্রথম
Fish,মাছ
Five,পাঁচ
Fix,মেরামত করা
Flat,সমতল
Fly,উড়া
Focus,ফোকাস
Follow,অনুসরণ করা
Game,খেলা
Playground,খেলার মাঠ
Black Hole,কৃষ্ণ গহ্বর
Large,বড়
Organization,সংগঠন
Population,জনসংখ্যা
Diversity,বৈচিত্র্য
Vacuum,শূন্যস্থান
Critique,সমালোচনা
Transformation,রূপান্তর
Culture,সংস্কৃতি
Language,ভাষা
Memory,স্মৃতি
Knowledge,জ্ঞান
Banking,ব্যাংকিং
Calculation,গণনা
Energy,শক্তি
Mathematics,গণিত
Physics,পদার্থবিজ্ঞান
Chemistry,রসায়ন
Space,মহাকাশ
Brightness,উজ্জ্বলতা
Creative,সৃজনশীল
Program,প্রোগ্রাম

Fruit,ফল
Future,ভবিষ্যৎ
Gain,লাভ
Game,খেলা
Garden,বাগান
Gas,গ্যাস
Gate,গেট
Gender,লিঙ্গ
General,সাধারণ
Generation,প্রজন্ম
Generous,উদার
General,সাধারণ
Generate,উৎপাদন করা
Grateful,কৃতজ্ঞ
Global,বিশ্বব্যাপী
Goal,লক্ষ্য
Gold,সোনা
Good,ভালো
Govern,শাসন করা
Government,সরকার
Grandfather,দাদা
Grandmother,দাদি
Grass,ঘাস
Great,মহান
Green,সবুজ
Ground,মাটি
Group,দল
Grow,বৃদ্ধি পাওয়া
Growth,বৃদ্ধি
Guess,অনুমান করা
Guide,গাইড
Gun,বন্দুক
Habit,অভ্যাস
Half,অর্ধেক
Hall,হল
Hand,হাত
Hang,ঝুলানো
Happy,সুখী
Hard,কঠিন
Hardship,কষ্ট
Hard,শক্ত
Harm,ক্ষতি
Harm,ক্ষতি করা
Harvest,ফসল কাটা
Hate,ঘৃণা করা
Have,আছে
Head,মাথা
Health,স্বাস্থ্য
Hearing,শ্রবণ
Heart,হৃদয়
Heavy,ভারী
Help,সাহায্য করা
Hide,লুকানো
Height,উচ্চতা
Hello,হ্যালো
Holiday,ছুটি
Home,বাড়ি
Alert,সতর্ক
Honey,মধু
Honor,সম্মান
Horse,ঘোড়া
Hospital,হাসপাতাল
Hotel,হোটেল
Hour,ঘণ্টা
House,বাড়ি
Human,মানুষ
Hunger,ক্ষুধা
Hunt,শিকার করা
Hurry,তাড়াহুড়া
Husband,স্বামী
Ice,বরফ
Idea,ধারণা
Ideal,আদর্শ
Identify,শনাক্ত করা
Identity,পরিচয়
Ignore,উপেক্ষা করা
Ill,অসুস্থ
Illness,অসুস্থতা
Imagine,কল্পনা করা
Immediately,অবিলম্বে
Impact,প্রভাব
Impress,প্রভাবিত করা
Improve,উন্নত করা
Include,অন্তর্ভুক্ত করা
Income,আয়
Increase,বৃদ্ধি করা
Independent,স্বাধীন
Industry,শিল্প
Influence,প্রভাব
Information,তথ্য
Ingredient,উপাদান
Initial,প্রাথমিক
Inspect,পরিদর্শন করা
Inspire,অনুপ্রাণিত করা
Institute,প্রতিষ্ঠান
Instruction,নির্দেশ
Insurance,বীমা
Intelligence,বুদ্ধিমত্তা
Internal,অভ্যন্তরীণ
Interview,সাক্ষাৎকার
Invent,উদ্ভাবন করা
Invest,বিনিয়োগ করা
Investigate,তদন্ত করা
Invite,আমন্ত্রণ করা
Involve,জড়িত করা
Iron,ইস্তিরি
Island,দ্বীপ
Issue,সমস্যা
Item,আইটেম
Ivory,হাতির দাঁত
Job,চাকরি
Join,যোগদান করা
Joke,রসিকতা
Journey,যাত্রা
Judge,বিচারক
Judgment,বিচার
Museum,যাদুঘর
Justice,ন্যায়বিচার
Mecca,মক্কা
Risk,ঝুঁকি
Cook,রান্না করা
Key,চাবি
Brother,ভাই
Needle,সূঁচ
Need,প্রয়োজন
Knee,হাঁটু
King,রাজা
Kiss,চুম্বন
Kitchen,রান্নাঘর
Whip,চাবুক
Kill,হত্যা করা
Juice,রস
Large,বড়
Light,আলো
Love,ভালোবাসা
Lock,তালা
List,তালিকা
Opinion,মতামত
Leaf,পাতা
Yoga,যোগ
Lion,সিংহ
Loan,ঋণ
Local,স্থানীয়
Lose,হারানো
Low,নিচু
Luck,ভাগ্য
Launch,শুরু করা
Lean,ঝুঁকে পড়া
Flame,শিখা
Law,আইন
Legal,আইনি
Lead,নেতৃত্ব দেওয়া
Obey,মানা
Alter,পরিবর্তন করা
Meaning,অর্থ
Apply,আবেদন করা
Poor,গরিব
Value,মূল্য
Largest,সবচেয়ে বড়
Danger,বিপদ
Illegal,বেআইনি
Number,সংখ্যা
Politics,রাজনীতি
Mantra,মন্ত্র
Humanity,মানবতা
Democracy,গণতন্ত্র
Business,ব্যবসা
Price,দাম
Pocket,পকেট
Policy,নীতি
Assessment,মূল্যায়ন
Objective,উদ্দেশ্য
Service,সেবা
Beauty,সৌন্দর্য
Economy,অর্থনীতি
Concept,ধারণা
Role,ভূমিকা
Progress,অগ্রগতি
Selection,নির্বাচন
Option,বিকল্প
Decision,সিদ্ধান্ত
Success,সাফল্য
Failure,ব্যর্থতা
Improvement,উন্নতি
Possibility,সম্ভাবনা
Power,ক্ষমতা
Mercy,দয়া
Respect,সম্মান
Persistence,অধ্যবসায়
Initiative,উদ্যোগ
Strength,শক্তি
Motivation,অনুপ্রেরণা
Education,শিক্ষা
Method,পদ্ধতি
Creativity,সৃজনশীলতা
Skill,দক্ষতা
Ambition,উচ্চাকাঙ্ক্ষা
Attention,মনোযোগ
Aspiration,আকাঙ্ক্ষা
Loyalty,আনুগত্য
Compassion,করুণা
Energy,শক্তি
Patience,ধৈর্য
Discipline,শৃঙ্খলা
Inspiration,অনুপ্রেরণা
Order,আদেশ
Team,দল
Reverence,শ্রদ্ধা
Protection,সুরক্ষা
Responsibility,দায়িত্ব
Charm,আকর্ষণ
Peace,শান্তি
Lover,প্রেমিক
Purity,বিশুদ্ধতা
Pride,গর্ব
Damage,ক্ষতি
Sacrifice,ত্যাগ
Obligation,বাধ্যবাধকতা
Determination,দৃঢ়সংকল্প
Gratitude,কৃতজ্ঞতা
Humor,রসবোধ
Courage,সাহস
Kindness,দয়া
Religion,ধর্ম
Right,অধিকার
Freedom,স্বাধীনতা
Duty,কর্তব্য
Emotion,আবেগ
Thought,চিন্তা
Reasoning,যুক্তি
Memory,স্মৃতি
Dream,স্বপ্ন
Imagination,কল্পনা
Strategy,কৌশল
Perception,ধারণা
Desire,ইচ্ছা
Wisdom,প্রজ্ঞা
Knowledge,জ্ঞান
Curiosity,কৌতূহল
Morale,মনোবল
Mood,মেজাজ
Talent,প্রতিভা
Ability,যোগ্যতা
Habit,অভ্যাস
Creative,সৃজনশীল
Forgiveness,ক্ষমা
Humaneness,মানবিকতা
Generosity,উদারতা
Selflessness,নিঃস্বার্থপরতা
Sincerity,আন্তরিকতা
Enthusiasm,উৎসাহ
Encouraged,উৎসাহিত
Motivated,অনুপ্রাণিত
Excitement,উত্তেজনা
Cheerfulness,আনন্দ
Humility,বিনয়
Dignity,মর্যাদা
Self-respect,আত্মসম্মান
Courtesy,সৌজন্য
Willpower,ইচ্ছাশক্তি
Focus,মনোযোগ
Self-confidence,আত্মবিশ্বাস
Perseverance,অধ্যবসায়
Prosperity,সমৃদ্ধি
Development,উন্নয়ন
Achievement,অর্জন
Difficulty,কঠিনতা
Insight,অন্তর্দৃষ্টি
Force,বল
Involved,জড়িত
Collaboration,সহযোগিতা
Communication,যোগাযোগ
Reaction,প্রতিক্রিয়া
Dedication,উৎসর্গ
Ingenuity,মেধা
Advancement,অগ্রগতি
Wealth,সম্পদ
Victory,বিজয়
Competition,প্রতিযোগিতা
Triumph,জয়
Comfort,আরাম
Tranquility,প্রশান্তি
Wage,মজুরি
Earnings,আয়
Investment,বিনিয়োগ
Crisis,সংকট
Experience,অভিজ্ঞতা
Expectation,প্রত্যাশা
Alternative,বিকল্প
Philosophy,দর্শন
Theory,তত্ত্ব
Procedure,পদ্ধতি
Process,প্রক্রিয়া
Analysis,বিশ্লেষণ
Problem,সমস্যা
Solution,সমাধান
Outcome,ফলাফল
Perspective,দৃষ্টিভঙ্গি
Technique,কৌশল
Purpose,উদ্দেশ্য
Conclusion,উপসংহার
Means,উপায়
Relationship,সম্পর্ক
Trust,বিশ্বাস
Accountability,জবাবদিহিতা
Innovation,উদ্ভাবন
Accuracy,নির্ভুলতা
Revision,পুনর্বিবেচনা
Evaluation,মূল্যায়ন
Aim,লক্ষ্য
Experiment,পরীক্ষা
Goal,লক্ষ্য
Plan,পরিকল্পনা
Opportunity,সুযোগ
Result,ফলাফল
Effort,প্রচেষ্টা
Efficiency,দক্ষতা
Challenge,চ্যালেঞ্জ
Risk,ঝুঁকি
Demand,চাহিদা
Arrangement,ব্যবস্থা
Management,ব্যবস্থাপনা
Schedule,সময়সূচি
Resource,সম্পদ
Design,নকশা
Project,প্রকল্প
Advantage,সুবিধা
Change,পরিবর্তন
Production,উৎপাদন
Proficiency,দক্ষতা
Decision-making,সিদ্ধান্ত গ্রহণ
Assessment,মূল্যায়ন
Income,আয়
Comparison,তুলনা
Correction,সংশোধন
Operate,পরিচালনা করা
Accomplishment,সাফল্য
Assistance,সহায়তা
Coordination,সমন্বয়
Observation,পর্যবেক্ষণ
Reflection,প্রতিফলন
Appraisal,মূল্যায়ন
Meeting,সভা
Document,নথি
Guideline,নির্দেশিকা
Instruction,নির্দেশ
Approval,অনুমোদন
Review,পর্যালোচনা
Partnership,অংশীদারিত্ব
Proposal,প্রস্তাব
Negotiation,আলোচনা
Report,প্রতিবেদন
Budget,বাজেট
Scheme,পরিকল্পনা
Implementation,বাস্তবায়ন
Preparation,প্রস্তুতি
Restructuring,পুনর্গঠন
Distribution,বিতরণ
Modification,পরিবর্তন
Progress,অগ্রগতি
Financing,অর্থায়ন
Consequence,ফলাফল
Handle,পরিচালনা করা
Control,নিয়ন্ত্রণ
Evolution,বিবর্তন
Resolution,সমাধান
Relevant,প্রাসঙ্গিক
Requirement,প্রয়োজনীয়তা
Target,লক্ষ্য
Recognition,স্বীকৃতি
Status,অবস্থা
Supervision,তত্ত্বাবধান
Tool,যন্ত্র
Investment,বিনিয়োগ
Impact,প্রভাব
Objective,উদ্দেশ্য
Potential,সম্ভাবনা
Provision,বিধান
Necessity,প্রয়োজন
Technology,প্রযুক্তি
Adjustment,সমন্বয়
Precise,নির্ভুল
Delivery,বিতরণ
Achievement,অর্জন
Administer,পরিচালনা করা
Organization,সংগঠন
Legacy,উত্তরাধিকার
Liability,দায়
Rule,নিয়ম
Transaction,লেনদেন
Trend,প্রবণতা
Notion,ধারণা
Institution,প্রতিষ্ঠান
Specific,নির্দিষ্ট
Mandatory,বাধ্যতামূলক
Internal,অভ্যন্তরীণ
External,বাহ্যিক
Crucial,গুরুত্বপূর্ণ
Difference,পার্থক্য
Obstacle,বাধা
Shift,পরিবর্তন
Feature,বৈশিষ্ট্য
Participation,অংশগ্রহণ
Contribution,অবদান
Response,প্রতিক্রিয়া
Revenue,রাজস্ব
Expense,ব্যয়
Cost,খরচ
Property,সম্পত্তি
Loss,ক্ষতি
Requirement,প্রয়োজনীয়তা
Obligation,বাধ্যবাধকতা
Asset,সম্পদ
Statement,বিবৃতি
Principle,নীতি
Financial,আর্থিক
Chance,সুযোগ
Contract,চুক্তি
Profit,লাভ
Growth,বৃদ্ধি
Competition,প্রতিযোগিতা
Limit,সীমা
Reorganization,পুনর্গঠন
Invention,আবিষ্কার
Addition,যোগ
Wages,মজুরি
Allowance,ভাতা
Expenditure,ব্যয়
Grant,অনুদান
Consent,সম্মতি
Support,সমর্থন
Barrier,বাধা
Trade,বাণিজ্য
Endeavor,প্রচেষ্টা
Authorization,অনুমোদন
Assumption,অনুমান
Blueprint,নকশা
Legitimacy,বৈধতা
Global,বিশ্বব্যাপী
National,জাতীয়
Provincial,প্রাদেশিক
Local,স্থানীয়
Input,ইনপুট
Measure,পরিমাপ
Valuable,মূল্যবান
Organization,সংগঠন
Precisely,সঠিকভাবে
Undertaking,উদ্যোগ
Workspace,কর্মস্থল
Reform,সংস্কার
Infrastructure,পরিকাঠামো
Performance,কর্মক্ষমতা
Commerce,বাণিজ্য
Range,পরিসর
Ownership,মালিকানা
Expansion,সম্প্রসারণ
Approval,অনুমোদন
Aid,সাহায্য
Capability,সক্ষমতা
Nature,প্রকৃতি
Entire,সম্পূর্ণ
English,Bengali
Acceptable,গ্রহণযোগ্য
Ethics,নৈতিকতা
Condition,অবস্থা
Situation,পরিস্থিতি
Opinion,মতামত
Evidence,প্রমাণ
Request,অনুরোধ
Legitimate,বৈধ
Dispute,বিবাদ
Establishment,প্রতিষ্ঠান
Policy,নীতি
Document,নথি
Concept,ধারণা
Accountable,দায়বদ্ধ
Proposition,প্রস্তাব
Classification,শ্রেণীবিভাগ
Necessity,প্রয়োজন
Assistance,সহায়তা
Incentive,প্রণোদনা
Goal,লক্ষ্য
Guideline,নির্দেশিকা
Approach,পদ্ধতি
Connection,সংযোগ
Participation,অংশগ্রহণ
Worth,মূল্য
Comfort,আরাম
Benefit,সুবিধা
Usage,ব্যবহার
Control,নিয়ন্ত্রণ
Condition,অবস্থা
Competency,যোগ্যতা
Evaluation,মূল্যায়ন
Recommendation,সুপারিশ
Convenient,সুবিধাজনক
Alternative,বিকল্প
View,দৃষ্টিভঙ্গি
Success,সাফল্য
Increase,বৃদ্ধি
Provision,বিধান
Improvement,উন্নতি
Approval,অনুমোদন
Permission,অনুমতি
Regular,নিয়মিত
Organized,সংগঠিত
Strategic,কৌশলগত
Resource,সম্পদ
Protocol,প্রোটোকল
Option,বিকল্প
Engagement,নিযুক্তি
Commitment,প্রতিশ্রুতি
Effort,প্রচেষ্টা
Completeness,সম্পূর্ণতা
Perfect,নিখুঁত
Interpretation,ব্যাখ্যা
Security,নিরাপত্তা
Pace,গতি
Tendency,প্রবণতা
Comfortable,আরামদায়ক
Reliable,নির্ভরযোগ্য
Component,উপাদান
Adequate,পর্যাপ্ত
Incentive,প্রণোদনা
Perception,উপলব্ধি
Proficiency,দক্ষতা
Advancement,অগ্রগতি
Endeavor,প্রচেষ্টা
Resolution,সমাধান
Examination,পরীক্ষা
Structured,কাঠামোগত
Appreciation,প্রশংসা
Discipline,শৃঙ্খলা
Regulation,প্রবিধান
Effectiveness,কার্যকারিতা
Complexity,জটিলতা
Accomplishment,সাফল্য
Creativity,সৃজনশীলতা
Utility,উপযোগিতা
Responsible,দায়িত্বশীল
Consequence,ফলাফল
Innovation,উদ্ভাবন
Tactic,কৌশল
Inclusion,অন্তর্ভুক্তি
Supervision,তত্ত্বাবধান
Simple,সহজ
Fast,দ্রুত
Productivity,উৎপাদনশীলতা
Competence,যোগ্যতা
Influence,প্রভাব
Procedure,পদ্ধতি
Necessity,প্রয়োজন
Status,অবস্থা
Endeavor,প্রচেষ্টা
Capital,মূলধন
Blueprint,নকশা
Patience,ধৈর্য
Methodology,পদ্ধতি
Precise,নির্ভুল
Promise,প্রতিশ্রুতি
Outlook,দৃষ্টিভঙ্গি
Quality,গুণমান
Partner,অংশীদার
Classification,শ্রেণীবিভাগ
Provision,বিধান
Mission,লক্ষ্য
Awareness,সচেতনতা
Development,উন্নয়ন
Consistency,সামঞ্জস্য
Perfect,নিখুঁত
Initiative,উদ্যোগ
Superintendence,তত্ত্বাবধান
Governance,শাসন
Encouragement,উৎসাহ
Motivation,অনুপ্রেরণা
Obstacle,বাধা
Establishment,প্রতিষ্ঠান
Entitlement,অধিকার
Valuable,মূল্যবান
Inspiration,অনুপ্রেরণা
